"Test","diff_means","TOST_t1","TOST_p1","TOST_t2","TOST_p2","TOST_df","alpha","low_eqbound","high_eqbound","low_eqbound_d","high_eqbound_d","LL_CI_TOST","UL_CI_TOST","LL_CI_TTest","UL_CI_TTest","NHST_t","NHST_p","lev_Df_group","lev_Df","lev_F","lev_p","shap_Exp1","shap_Exp2","shap_W1","shap_W2","shap_p1","shap_p2","wTOST_W_NHST","wTOST_W_TOSTlow","wTOST_W_TOSTupp","wTOST_p_NHST","wTOST_p_TOSTlow","wTOST_p_TOSTupp","wTOST_low_eqbound","wTOST_high_eqbound","wTOST_alpha","wTOST_test","wTOST_decision_combined"
"SUS_12",0.29634300126103597,2.7603369311089776,0.0033858636778739152,-2.546727767181299,0.006131892975057516,109.44287343222504,0.05,-7.362565592505697,7.362565592505697,-0.5,0.5,-4.306476323532684,4.899162326054756,-5.202630064535225,5.795316067057297,0.10680458196383927,0.9151395479136053,1,111,0.22189315358546474,0.6385256520298273,"1","2","0.924246188555958","0.950109312658455","0.00270190566763039","0.0145895333804424","1596","2006","1205","0.956253159615279","0.00779987568842756","0.0141415318146161","-7.3625655925057","7.3625655925057","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"SUS_23",-4.81557377049181,0.8983497535850259,0.18572399945578288,-4.087404480994355,4.802404254050348e-5,88.09166674520297,0.05,-7.528647003704192,7.528647003704192,-0.5,0.5,-9.835932790428789,0.20478524944517051,-10.817228162054406,1.1860806210707855,-1.5945273637046646,0.11439971317404446,1,101,1.7769226264376778,0.18552677402026244,"2","3","0.950109312658455","0.779249778195097","0.0145895333804424","1.64620913832608e-06","1012","1478","553","0.070900882193591","0.0934725009895541","5.15039297692591e-07","-7.52864700370419","7.52864700370419","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"UMUX_12",-3.9801387137452764,1.3045107030442424,0.0974910959777663,-3.9666295321284304,6.764504496561524e-5,102.45831105281606,0.05,-7.880891373586262,7.880891373586262,-0.5,0.5,-8.943463881212226,0.9831864537216735,-9.910875044349932,1.9505976168593788,-1.3310594145420938,0.18612379432223233,1,111,0.4363859534622457,0.5102406164472278,"1","2","0.921997956755702","0.917396621589424","0.00222449853700018","0.000539796697663397","1366.5","1763","975","0.204962270279193","0.154329300774209","0.000214697986602131","-7.88089137358626","7.88089137358626","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"UMUX_23",-4.543976060369502,0.8840429988547831,0.1894662110265255,-4.151313005793604,3.636396518646626e-5,93.83884133369668,0.05,-7.002952646083078,7.002952646083078,-0.5,0.5,-9.164775408007378,0.07682328726837362,-10.066857839349861,0.9789057186108563,-1.6336350034694107,0.10568637213091939,1,101,0.40426745903871675,0.5263316575513899,"2","3","0.917396621589424","0.886109309942799","0.000539796697663397","0.00056719141014681","1050.5","1413","704","0.120249327963158","0.188269388232284","5.29279847198265e-05","-7.00295264608308","7.00295264608308","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"Trust_12",-0.0025220680958386588,2.653315783634327,0.004569855378700422,-2.6785135994667004,0.004259407267867344,110.99964192810708,0.05,-0.5336667617951835,0.5336667617951835,-0.5,0.5,-0.3345625588418579,0.3295184226501806,-0.3991950582225943,0.394150922030917,-0.012598907916186794,0.9899704086163329,1,111,0.2958285828039915,0.5876002347909899,"1","2","0.877036922586746","0.861322668973435","6.74476905216111e-05","5.75333263377086e-06","1535","1996","1074","0.758126911100901","0.00838177454004547","0.00140576655795729","-0.533666761795183","0.533666761795183","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"Trust_23",-0.19711163153786115,1.6218780206531478,0.05413430872196632,-3.3925513441281954,5.122113270611184e-4,91.54750563597459,0.05,-0.5582070618105971,0.5582070618105971,-0.5,0.5,-0.5670661253527132,0.1728428622769908,-0.639323633384178,0.24510037030845566,-0.8853366617375238,0.37829461733301006,1,101,0.006435957759725998,0.9362175150105451,"2","3","0.861322668973435","0.881243919595878","5.75333263377086e-06","0.000414124235483574","1172.5","1505","840","0.448560608615592","0.0642671450479066","0.00136947633428217","-0.558207061810597","0.558207061810597","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"Acceptance_12",-0.25788146279949586,1.3656664637514466,0.08745591166110477,-3.9248959781368633,7.693621238615414e-5,106.84245242185467,0.05,-0.5331049731480874,0.5331049731480874,-0.5,0.5,-0.5922691458825697,0.07650622028357806,-0.657399006095694,0.14163608049670223,-1.2796147571927083,0.2034524017429276,1,111,0.14094533368569892,0.7080594792083965,"1","2","0.843385482031459","0.813224917710629","7.30698368733292e-06","2.46334083193543e-07","1357","1808","906","0.165286270345605","0.0977223235412838","3.56970555528117e-05","-0.533104973148087","0.533104973148087","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"Acceptance_23",-0.05347384855581527,2.237619763691065,0.013895043210324151,-2.7422848940415805,0.003700474806371634,87.35091882365211,0.05,-0.5276660729562187,0.5276660729562187,-0.5,0.5,-0.4057846805012378,0.29883698338960724,-0.4746602462519485,0.367712549140318,-0.2523325651752576,0.801376817029836,1,101,0.01094190790968398,0.916897824719165,"2","3","0.813224917710629","0.792194063620115","2.46334083193543e-07","3.0320659605843e-06","1235","1651","819","0.744258328593803","0.00583123831014209","0.000815835427878167","-0.527666072956219","0.527666072956219","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"UEQ_Attractiveness_12",-0.3281315678856662,0.8714265517545638,0.1927297448431698,-4.423911079710462,1.1637408121335535e-5,107.71177117514277,0.05,-0.48911330248534157,0.48911330248534157,-0.5,0.5,-0.6346273793616403,-0.021635756409692175,-0.6943166451849602,0.03805350941362773,-1.7762422639779492,0.07851651923151681,1,111,0.08878704205765275,0.7662818946907288,"1","2","0.949309224764788","0.941904833775793","0.0272294642455692","0.00604445832134104","1267.5","1668","908","0.066370198815969","0.319239194110311","4.69920887533316e-05","-0.489113302485342","0.489113302485342","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"UEQ_Attractiveness_23",-0.10883424408014575,1.9240512269380097,0.02867764895078519,-3.1183607063065324,0.0012050696184828199,94.55827412962812,0.05,-0.45950157859045115,0.45950157859045115,-0.5,0.5,-0.4115826338549527,0.1939141456946612,-0.470677326048179,0.25300883788788753,-0.5971547396842614,0.5518313124424656,1,101,0.9710167749892669,0.32678145991802876,"2","3","0.941904833775793","0.919969324489586","0.00604445832134104","0.0060332123742488","1201.5","1555","864","0.595198579572205","0.0331235490258185","0.00257821609545115","-0.459501578590451","0.459501578590451","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"UEQ_Perspicuity_12",-0.02033417402269877,2.5694296507443926,0.005757724438679708,-2.7533642809864003,0.0034476648440499693,110.7784191509667,0.05,-0.5884406756485804,0.5884406756485804,-0.5,0.5,-0.3870819323669976,0.3464135843216001,-0.45847256435140354,0.417804216306006,-0.09196731512100395,0.9268901125932654,1,111,0.5472314737699676,0.4610127994995423,"1","2","0.920069347700056","0.909965769031547","0.0018858774777579","0.000275384704853797","1523","2054","1034","0.717775225240402","0.00350635208944888","0.000734602153388404","-0.58844067564858","0.58844067564858","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"UEQ_Perspicuity_23",-0.4746291959406712,0.40325170809547534,0.34381857137673,-4.685840151895438,4.47590523617337e-6,98.49027418447703,0.05,-0.5640120710344226,0.5640120710344226,-0.5,0.5,-0.8426816757758919,-0.1065767161054505,-0.914469543751304,-0.03478884813003852,-2.1412942218999818,0.03471769959041303,1,101,3.0326205222631333,0.08465087595852715,"2","3","0.909965769031547","0.799796135292808","0.000275384704853797","4.38476762241828e-06","983","1440","521","0.044872877010753","0.143343019559104","1.65155875037925e-07","-0.564012071034423","0.564012071034423","0.05","Wilcoxon rank sum test with continuity correction","NHST: reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"UEQ_Efficiency_12",-0.2061002522068094,1.4236011074138262,0.07875995846335361,-3.859195177604413,9.825193395202377e-5,105.24324388541915,0.05,-0.4470308332678181,0.4470308332678181,-0.5,0.5,-0.4869478569938414,0.07474735258022264,-0.541663328184167,0.12946282377054819,-1.2177970350952936,0.22602440604600704,1,111,0.727457712531612,0.3955451625796155,"1","2","0.966738569874149","0.928049559799898","0.153268047768563","0.0014840505122766","1348","1735","969","0.169273117690638","0.19580061879034","0.000187789791059539","-0.447030833267818","0.447030833267818","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"UEQ_Efficiency_23",-0.3019125683060111,0.5715036155163784,0.2844785415901324,-4.521266087575233,8.55594869751961e-6,98.73080069052482,0.05,-0.389281935743836,0.389281935743836,-0.5,0.5,-0.5557535896617365,-0.04807154695028565,-0.605262578431352,0.00143744181932981,-1.9748812360294274,0.05107436335786074,1,101,0.6605618983592982,0.41827330273114105,"2","3","0.928049559799898","0.9552421014973","0.0014840505122766","0.0996367819652575","1026.5","1396","691","0.0864636736561229","0.220710314109117","3.69642188939345e-05","-0.389281935743836","0.389281935743836","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"UEQ_Dependability_12",-0.0018127364438840221,2.662324643935304,0.004458182657891719,-2.680787230916841,0.004233910552346456,110.70170232944264,0.05,-0.5246097759203477,0.5246097759203477,-0.5,0.5,-0.3275362309767047,0.32391075808893666,-0.39094183756074863,0.3873163646729806,-0.009231293490768415,0.9926512134496193,1,111,1.4219140137563386,0.23563154417902135,"1","2","0.954771377964096","0.93168491130494","0.0465315144585564","0.00212381310335368","1511.5","2109","979","0.66835067476867","0.00128802654599648","0.000233633466449756","-0.524609775920348","0.524609775920348","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"UEQ_Dependability_23",-0.20491803278688514,1.5559646165706673,0.06147766313588013,-3.5199503619709724,3.288810247293673e-4,97.53999708314035,0.05,-0.529610010883369,0.529610010883369,-0.5,0.5,-0.5514502877773255,0.14161422220355518,-0.6190525434506109,0.20921647787684067,-0.9819928727001525,0.3285328521811861,1,101,0.46281375178251283,0.49786838986378923,"2","3","0.93168491130494","0.944286810524505","0.00212381310335368","0.0404278353789693","1160","1628","750","0.416917302609227","0.0099500880266446","0.000182227210440521","-0.529610010883369","0.529610010883369","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"UEQ_Novelty_12",0.08858764186633039,3.074813142344762,0.0013258955414094924,-2.255428761292503,0.013033594477570177,110.9903104137862,0.05,-0.5762784496989448,0.5762784496989448,-0.5,0.5,-0.27007232451443913,0.4472476082470999,-0.3398864641623454,0.5170617478950061,0.40969219052612943,0.6828213911747512,1,111,0.9841681635457129,0.32332958717940685,"1","2","0.977186047780198","0.975135740493382","0.414259405080965","0.248711186331189","1628.5","2135","1136","0.808272845063092","0.000782191654086665","0.00477561673251235","-0.576278449698945","0.576278449698945","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"UEQ_Novelty_23",-0.3889539422326307,0.8104094777027492,0.20984652449746627,-4.256171783988994,2.4055714853111848e-5,96.78703614285219,0.05,-0.5719102422653506,0.5719102422653506,-0.5,0.5,-0.7638812545225134,-0.014026629942747948,-0.8370332295477332,0.05912534508247186,-1.7228811531431223,0.08810365464799588,1,101,0.47248559121315625,0.4934213160123213,"2","3","0.975135740493382","0.949770910522252","0.248711186331189","0.0633762162598253","1048.5","1414","667","0.118461351409734","0.186720815296464","1.88552605881018e-05","-0.571910242265351","0.571910242265351","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"UEQ_Stimulation_12",-0.24377364438839844,1.3748141441481643,0.08603010231145973,-3.9167865926797885,7.91557157685237e-5,107.03913143999515,0.05,-0.5074613601772232,0.5074613601772232,-0.5,0.5,-0.5620089165930822,0.07446162781628524,-0.6239908246908801,0.1364435359140832,-1.270986224265812,0.20648875812170367,1,111,3.482732916423477e-4,0.9851441815295087,"1","2","0.974169350148615","0.944731800622242","0.314880248661214","0.00815485141518274","1340","1921","828","0.15541166323537","0.0268282153876262","6.22024750718695e-06","-0.507461360177223","0.507461360177223","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"UEQ_Stimulation_23",-0.2775175644028105,1.0194103483011874,0.1552821574135018,-4.040698775808174,5.36392823919645e-5,96.2282563655273,0.05,-0.4647914932418419,0.4647914932418419,-0.5,0.5,-0.5826278706045271,0.02759274179890614,-0.6421642040006095,0.08712907519498853,-1.5106442137534934,0.13415602115575478,1,101,0.2150783750472757,0.6438137597352128,"2","3","0.944731800622242","0.960320321455604","0.00815485141518274","0.151635478383158","1090","1424","805","0.199061688271862","0.169062298068553","0.000696046311818549","-0.464791493241842","0.464791493241842","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"Uebel_12",1.0412988650693566,8.564197341319028,8.356954870695814e-12,3.4612254556868276,0.9994579151381539,51.92279168024428,0.05,-0.44187376383245996,0.44187376383245996,-0.5,0.5,0.7512634994702181,1.3313342306684952,0.6937696288055146,1.3888281013331987,6.012711398502928,1.8473834482687454e-7,1,111,120.68708805298489,1.9047047582553737e-19,"1","2","0.798180714615997","0.108594405737812","5.39974857327755e-07","2.21096743194376e-17","2392","3147","1637","8.76033657879835e-10","4.68168603408547e-23","0.627044558040214","-0.44187376383246","0.44187376383246","0.05","Wilcoxon rank sum test with continuity correction","NHST: reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
